Country_Name,Regional_Indicator,Ladder_Score,Standard_Error_Of_Ladder_Score,upperwhisker,lowerwhisker,Logged_GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption,Ladder_Score_In_Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year
Australia,Australia and New Zealand,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,2021
Australia,Australia and New Zealand,7.222799778,0.041841116,7.30480814,7.140791416,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,1.972316742,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,2020
Australia,Australia and New Zealand,7.228,,,,1.372,1.548,1.036,0.557,0.332,0.29,,,,,,,,,2019
Australia,Australia and New Zealand,7.272,,,,1.34,1.573,0.91,0.647,0.361,0.302,,,,,,,,,2018
Australia,Australia and New Zealand,7.28399992,,,,1.484414935,,0.843886793,0.601607382,0.47769925,0.30118373,,,,,,,,2.065210819,2017
Australia,Australia and New Zealand,7.313,,7.385,7.241,1.44443,,0.8512,0.56837,0.47407,0.32331,,,,,,,,2.5465,2016
Australia,Australia and New Zealand,7.284,0.04083,,,1.33358,,0.93156,0.65124,0.43562,0.35637,,,,,,,,2.26646,2015
New Zealand,Australia and New Zealand,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,2021
New Zealand,Australia and New Zealand,7.299600124,0.039465468,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,1.972316742,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,2020
New Zealand,Australia and New Zealand,7.307,,,,1.303,1.557,1.026,0.585,0.33,0.38,,,,,,,,,2019
New Zealand,Australia and New Zealand,7.324,,,,1.268,1.601,0.876,0.669,0.365,0.389,,,,,,,,,2018
New Zealand,Australia and New Zealand,7.31400013,,,,1.405706048,,0.816759706,0.61406213,0.500005126,0.382816702,,,,,,,,2.046456337,2017
New Zealand,Australia and New Zealand,7.334,,7.404,7.264,1.36066,,0.83096,0.58147,0.49401,0.41904,,,,,,,,2.47553,2016
New Zealand,Australia and New Zealand,7.286,0.03371,,,1.25018,,0.90837,0.63938,0.47501,0.42922,,,,,,,,2.26425,2015
Albania,Central and Eastern Europe,5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,2021
